,City_ID,City,City Country,City date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,1,malayal,PH,1665498930,7.208,121.942,79.57,84,97,3.29
1,2,fortuna,US,1665498931,40.5982,-124.1573,52.66,88,100,4.61
2,3,sao filipe,CV,1665498931,14.8961,-24.4956,80.37,74,26,7.65
3,4,arraial do cabo,BR,1665498931,-22.9661,-42.0278,78.66,78,0,14.97
4,5,igarka,RU,1665498932,67.4667,86.5833,35.22,97,100,15.55
5,6,khatanga,RU,1665498932,71.9667,102.5,27.43,95,100,3.27
6,7,puerto ayora,EC,1665498932,-0.7393,-90.3518,68.56,86,96,5.99
7,8,asfi,MA,1665498722,32.2994,-9.2372,70.88,70,3,10.33
8,9,ribeira grande,PT,1665498933,38.5167,-28.7,73.8,78,20,6.91
9,10,guerrero negro,MX,1665498933,27.9769,-114.0611,69.67,80,98,9.95
10,11,rikitea,PF,1665498933,-23.1203,-134.9692,70.81,74,3,7.18
11,12,ushuaia,AR,1665498933,-54.8,-68.3,49.66,46,75,11.5
12,13,constitucion,CL,1665498934,-35.3333,-72.4167,59.61,61,4,10.67
13,14,thompson,CA,1665498934,55.7435,-97.8558,46.56,87,75,2.3
14,15,punta arenas,CL,1665498935,-53.15,-70.9167,50.11,53,75,24.16
15,16,kloulklubed,PW,1665498935,7.0419,134.2556,75.7,77,100,8.23
16,17,castro,BR,1665498935,-24.7911,-50.0119,74.59,61,93,10.63
17,18,calvinia,ZA,1665498935,-31.4707,19.776,79.97,20,100,10.2
18,19,cape town,ZA,1665498895,-33.9258,18.4232,74.88,59,20,11.5
19,20,petropavlovsk-kamchatskiy,RU,1665498936,53.0452,158.6483,43.39,93,100,26.84
20,21,busselton,AU,1665498936,-33.65,115.3333,52.18,68,49,9.48
21,22,le port,RE,1665498936,-20.9373,55.2919,73.4,68,67,3.67
22,23,saldanha,ZA,1665498936,-33.0117,17.9442,73.45,88,73,14.36
23,24,muros,ES,1665498909,42.7762,-9.0603,76.84,63,0,6.06
24,25,talnakh,RU,1665498937,69.4865,88.3972,33.96,98,100,8.97
25,26,lubango,AO,1665498938,-14.9172,13.4925,82.11,23,92,11.12
26,27,tiksi,RU,1665498938,71.6872,128.8694,21.96,80,90,23.0
27,28,banda aceh,ID,1665498824,5.5577,95.3222,79.79,80,76,8.28
28,29,bac lieu,VN,1665498938,9.285,105.7244,78.66,85,100,4.9
29,30,tuktoyaktuk,CA,1665498938,69.4541,-133.0374,28.4,100,100,6.91
30,31,beringovskiy,RU,1665498939,63.05,179.3167,31.95,53,95,3.04
31,32,beyneu,KZ,1665498939,45.3167,55.2,67.01,14,100,10.69
32,33,ixtapa,MX,1665498939,20.7,-105.2,82.22,83,0,5.75
33,34,qaanaaq,GL,1665498670,77.484,-69.3632,5.41,65,94,7.61
34,35,odienne,CI,1665498939,9.51,-7.5692,84.11,63,100,6.98
35,36,loukhi,RU,1665498940,66.0764,33.0381,45.77,77,100,9.15
36,37,bethel,US,1665498940,41.3712,-73.414,62.02,68,0,0.0
37,38,souillac,MU,1665498902,-20.5167,57.5167,73.78,64,40,6.91
38,39,dikson,RU,1665498817,73.5069,80.5464,32.32,99,100,8.25
39,40,geraldton,AU,1665498940,-28.7667,114.6,55.81,71,40,8.05
40,41,mar del plata,AR,1665498777,-38.0023,-57.5575,61.88,64,0,14.97
41,42,caravelas,BR,1665498941,-17.7125,-39.2481,83.05,51,54,9.06
42,43,san quintin,MX,1665498941,30.4833,-115.95,67.28,83,99,7.65
43,44,hermanus,ZA,1665498942,-34.4187,19.2345,70.81,86,88,5.97
44,45,clyde,US,1665498942,41.3042,-82.9752,65.91,56,0,13.51
45,46,bredasdorp,ZA,1665498942,-34.5322,20.0403,70.88,63,38,12.84
46,47,ozernovskiy,RU,1665498943,51.5,156.5167,50.11,90,100,15.79
47,48,vanimo,PG,1665498943,-2.6741,141.3028,79.38,85,100,2.89
48,49,imbituba,BR,1665498943,-28.24,-48.6703,66.85,93,100,2.82
49,50,kodiak,US,1665498943,57.79,-152.4072,40.51,65,0,13.8
50,51,mataura,NZ,1665498943,-46.1927,168.8643,43.7,66,99,0.38
51,52,vaini,TO,1665498944,-21.2,-175.2,73.56,88,20,10.36
52,53,sioux lookout,CA,1665498944,50.1001,-91.917,51.87,66,20,8.05
53,54,banyo,CM,1665498944,6.75,11.8167,74.26,78,72,4.94
54,55,ahipara,NZ,1665498945,-35.1667,173.1667,55.15,88,100,3.94
55,56,kuching,MY,1665498834,1.55,110.3333,77.22,94,40,3.44
56,57,chiredzi,ZW,1665498945,-21.05,31.6667,91.47,20,0,10.54
57,58,pisco,PE,1665498946,-13.7,-76.2167,64.45,72,25,6.91
58,59,port hardy,CA,1665498946,50.6996,-127.4199,44.78,87,20,4.61
59,60,dickinson,US,1665498947,29.4608,-95.0513,80.04,72,0,4.0
60,61,hay river,CA,1665498947,60.8156,-115.7999,33.78,86,100,33.38
61,62,la union,PE,1665498947,-5.4,-80.75,74.17,56,36,8.59
62,63,sept-iles,CA,1665498947,50.2001,-66.3821,43.05,77,75,14.97
63,64,barra do corda,BR,1665498947,-5.5,-45.25,95.88,28,93,4.79
64,65,husavik,IS,1665498948,66.0449,-17.3389,42.8,64,100,9.89
65,66,cherskiy,RU,1665498948,68.75,161.3,19.04,89,100,15.43
66,67,esperance,AU,1665498948,-33.8667,121.9,53.37,65,52,16.08
67,68,bluff,NZ,1665498948,-46.6,168.3333,48.25,56,100,5.19
68,69,albany,US,1665498949,42.6001,-73.9662,53.73,54,45,2.15
69,70,port elizabeth,ZA,1665498949,-33.918,25.5701,72.1,83,20,32.21
70,71,mujiayingzi,CN,1665498949,42.1167,118.7833,46.27,26,0,7.34
71,72,kapaa,US,1665498949,22.0752,-159.319,76.98,83,0,9.22
72,73,vostok,RU,1665498800,46.4856,135.8833,31.73,94,51,4.97
73,74,port alfred,ZA,1665498950,-33.5906,26.891,72.18,64,100,11.01
74,75,pevek,RU,1665498950,69.7008,170.3133,27.07,85,100,28.88
75,76,kaitangata,NZ,1665498951,-46.2817,169.8464,38.43,85,19,4.81
76,77,grindavik,IS,1665498951,63.8424,-22.4338,44.55,100,100,10.36
77,78,luderitz,NA,1665498952,-26.6481,15.1594,64.53,76,100,12.55
78,79,saint-philippe,RE,1665498952,-21.3585,55.7679,72.99,74,22,10.22
79,80,nanortalik,GL,1665498952,60.1432,-45.2371,36.75,78,97,11.05
80,81,butaritari,KI,1665498952,3.0707,172.7902,81.1,80,100,16.33
81,82,keti bandar,PK,1665498953,24.1447,67.4497,84.0,52,0,10.27
82,83,atuona,PF,1665498953,-9.8,-139.0333,76.15,74,62,16.17
83,84,jalu,LY,1665498953,29.0331,21.5482,83.89,24,98,7.16
84,85,kangaatsiaq,GL,1665498953,68.3065,-53.4641,33.33,70,99,8.5
85,86,shelburne,CA,1665498954,44.0787,-80.2041,53.6,80,17,12.06
86,87,hobart,AU,1665498954,-42.8794,147.3294,55.26,77,100,8.05
87,88,dunedin,NZ,1665498954,-45.8742,170.5036,43.81,84,47,4.92
88,89,north bend,US,1665498954,43.4065,-124.2243,57.92,99,100,6.91
89,90,cayenne,GF,1665498913,4.9333,-52.3333,87.84,62,75,11.5
90,91,zheleznodorozhnyy,RU,1665498955,55.7503,38.0042,52.21,54,70,4.27
91,92,talaya,RU,1665498955,61.3833,152.75,-2.33,100,86,1.48
92,93,norman wells,CA,1665498955,65.282,-126.8329,26.64,86,75,8.05
93,94,hambantota,LK,1665498956,6.1241,81.1185,80.94,89,20,6.91
94,95,laguna,US,1665498956,38.421,-121.4238,70.77,79,0,6.91
95,96,carnarvon,AU,1665498956,-24.8667,113.6333,64.81,62,96,30.56
96,97,saint george,US,1665498956,37.1041,-113.5841,57.79,47,0,0.0
97,98,hithadhoo,MV,1665498957,-0.6,73.0833,79.77,81,100,19.8
98,99,vardo,NO,1665498957,70.3705,31.1107,49.98,76,75,25.32
99,100,antalaha,MG,1665498957,-14.9003,50.2788,72.16,77,0,11.61
100,101,east london,ZA,1665498758,-33.0153,27.9116,74.34,56,0,19.57
101,102,yar-sale,RU,1665498957,66.8333,70.8333,38.68,94,100,15.57
102,103,san jose,US,1665498842,37.3394,-121.895,59.41,90,100,3.44
103,104,padang,ID,1665498958,-0.9492,100.3543,73.45,86,99,1.9
104,105,san carlos de bariloche,AR,1665498892,-41.1456,-71.3082,51.24,53,75,24.16
105,106,andenes,NO,1665498958,69.3143,16.1194,46.92,81,75,13.8
106,107,comodoro rivadavia,AR,1665498788,-45.8667,-67.5,60.66,39,20,20.71
107,108,asau,RO,1665498959,46.4333,26.4,61.72,57,100,2.91
108,109,longyearbyen,SJ,1665498697,78.2186,15.6401,33.64,69,75,27.63
109,110,amuntai,ID,1665498959,-2.4177,115.2494,73.94,98,100,2.46
110,111,kokstad,ZA,1665498959,-30.5472,29.4241,75.49,39,56,8.41
111,112,abu dhabi,AE,1665498910,24.4667,54.3667,89.62,71,0,8.05
112,113,victoria,HK,1665498774,22.2855,114.1577,77.32,60,10,5.99
113,114,chokurdakh,RU,1665498960,70.6333,147.9167,12.07,82,93,9.44
114,115,linxia,CN,1665498960,35.6003,103.2064,51.24,55,100,1.68
